1434	H/O: diabetes mellitus
C1031	Diabetes mellitus, adult onset, with ketoacidotic coma
C103y	Other specified diabetes mellitus with coma
C103z	Diabetes mellitus NOS with ketoacidotic coma
XE10G	Diabetes mellitus with renal manifestation
X30Kk	Diabetic nephropathy
C1040	Diabetes mellitus, juvenile type, with renal manifestation
C1041	Diabetes mellitus, adult onset, with renal manifestation
C104y	Other specified diabetes mellitus with renal complications
C104z	Diabetes mellitus with nephropathy NOS
C105.	Diabetes mellitus with ophthalmic manifestation
C1050	Diabetes mellitus, juvenile type, with ophthalmic manifestation
C1051	Diabetes mellitus, adult onset, with ophthalmic manifestation
C105y	Other specified diabetes mellitus with ophthalmic complications
C105z	Diabetes mellitus NOS with ophthalmic manifestation
XE10H	Diabetes mellitus with neurological manifestation
X00Ag	Diabetes mellitus with neuropathy
XE15k	Diabetes mellitus with polyneuropathy
Xa0lK	Diabetic amyotrophy
XaPmX	Diabetic amyotrophy
C1060	Diabetes mellitus, juvenile type, with neurological manifestation
C1061	Diabetes mellitus, adult onset, with neurological manifestation
C106y	Other specified diabetes mellitus with neurological complications
C106z	Diabetes mellitus NOS with neurological manifestation
XE10I	Diabetes mellitus with peripheral circulatory disorder
XM1Qx	Diabetes mellitus with gangrene
C107.	Diabetes with gangrene
XM1Qx	Diabetes mellitus with gangrene
C1070	Diabetes mellitus, juvenile type, with peripheral circulatory disorder
C1071	Diabetes mellitus, adult onset, with peripheral circulatory disorder
C1072	Diabetes mellitus, adult with gangrene
C1073	IDDM with peripheral circulatory disorder
C1074	NIDDM with peripheral circulatory disorder
C107y	Other specified diabetes mellitus with peripheral circulatory complications
C107z	Diabetes mellitus NOS with peripheral circulatory disorder
X40J4	Insulin-dependent diabetes mellitus
X40J4	Type I diabetes mellitus
X40J4	IDDM - Insulin-dependent diabetes mellitus
X40J4	Type I diabetes mellitus
X40J4	Type 1 diabetes mellitus
X40J4	Type I diabetes mellitus
C1080	Insulin-dependent diabetes mellitus with renal complications
C1080	Type 1 diabetes mellitus with renal complications
C1080	Type I diabetes mellitus with renal complications
C1081	Insulin-dependent diabetes mellitus with ophthalmic complications
C1081	Type 1 diabetes mellitus with ophthalmic complications
C1081	Type I diabetes mellitus with ophthalmic complications
C1082	Insulin-dependent diabetes mellitus with neurological complications
C1082	Type 1 diabetes mellitus with neurological complications
C1082	Type I diabetes mellitus with neurological complications
C1083	Insulin-dependent diabetes mellitus with multiple complications
C1083	Type I diabetes mellitus with multiple complications
C1083	Type 1 diabetes mellitus with multiple complications
C1083	Type I diabetes mellitus with multiple complications
Xa4g7	Unstable insulin dependent diabetes mellitus
Xa4g7	Unstable type 1 diabetes mellitus
Xa4g7	Unstable type I diabetes mellitus
C1085	Insulin-dependent diabetes mellitus with ulcer
C1085	Type I diabetes mellitus with ulcer
C1085	Type 1 diabetes mellitus with ulcer
C1085	Type I diabetes mellitus with ulcer
C1086	Insulin-dependent diabetes mellitus with gangrene
C1086	Type I diabetes mellitus with gangrene
C1086	Type 1 diabetes mellitus with gangrene
C1086	Type I diabetes mellitus with gangrene
C1087	Type I diabetes mellitus with retinopathy
C1087	Insulin-dependent diabetes mellitus with retinopathy
C1087	Type 1 diabetes mellitus with retinopathy
C1087	Type I diabetes mellitus with retinopathy
C1088	Insulin-dependent diabetes mellitus - poor control
C1088	Type I diabetes mellitus - poor control
C1088	Type 1 diabetes mellitus - poor control
C1088	Type I diabetes mellitus - poor control
C1089	Insulin-dependent diabetes maturity onset
C1089	Type I diabetes mellitus maturity onset
C1089	Type 1 diabetes mellitus maturity onset
C1089	Type I diabetes mellitus maturity onset
XaELP	Insulin-dependent diabetes without complication
XaELP	Type 1 diabetes mellitus without complication
XaELP	Type I diabetes mellitus without complication
XaEnn	Insulin dependent diabetes mellitus with mononeuropathy
XaEnn	Type 1 diabetes mellitus with mononeuropathy
XaEnn	Type I diabetes mellitus with mononeuropathy
XaEno	Insulin dependent diabetes mellitus with polyneuropathy
XaEno	Type 1 diabetes mellitus with polyneuropathy
XaEno	Type I diabetes mellitus with polyneuropathy
XaF04	Insulin dependent diabetes mellitus with nephropathy
XaF04	Type 1 diabetes mellitus with nephropathy
XaF04	Type I diabetes mellitus with nephropathy
XaFWG	Insulin dependent diabetes mellitus with hypoglycaemic coma
XaFWG	Type 1 diabetes mellitus with hypoglycaemic coma
XaFWG	Type I diabetes mellitus with hypoglycaemic coma
XaFm8	Insulin dependent diabetes mellitus with diabetic cataract
XaFm8	Type 1 diabetes mellitus with diabetic cataract
XaFm8	Type I diabetes mellitus with diabetic cataract
XaFmK	Insulin dependent diabetes mellitus with peripheral angiopathy
XaFmK	Type 1 diabetes mellitus with peripheral angiopathy
XaFmK	Type I diabetes mellitus with peripheral angiopathy
XaFmL	Insulin dependent diabetes mellitus with arthropathy
XaFmL	Type 1 diabetes mellitus with arthropathy
XaFmL	Type I diabetes mellitus with arthropathy
XaFmM	Insulin dependent diabetes mellitus with neuropathic arthropathy
XaFmM	Type 1 diabetes mellitus with neuropathic arthropathy
XaFmM	Type I diabetes mellitus with neuropathic arthropathy
C108y	Other specified diabetes mellitus with multiple complications
C108z	Unspecified diabetes mellitus with multiple complications
X40J5	NIDDM - Non-insulin dependent diabetes mellitus
X40J5	Type II diabetes mellitus
X40J5	NIDDM - Non-insulin dependent diabetes mellitus
X40J5	Type 2 diabetes mellitus
X40J5	Type II diabetes mellitus
C1090	Non-insulin-dependent diabetes mellitus with renal complications
C1090	Type 2 diabetes mellitus with renal complications
C1090	Type II diabetes mellitus with renal complications
C1091	Non-insulin-dependent diabetes mellitus with ophthalmic complications
C1091	Type 2 diabetes mellitus with ophthalmic complications
C1091	Type II diabetes mellitus with ophthalmic complications
C1092	Non-insulin-dependent diabetes mellitus with neurological complications
C1092	Type 2 diabetes mellitus with neurological complications
C1092	Type II diabetes mellitus with neurological complications
C1093	Non-insulin-dependent diabetes mellitus with multiple complications
C1093	Type 2 diabetes mellitus with multiple complications
C1093	Type II diabetes mellitus with multiple complications
C1094	Non-insulin-dependent diabetes mellitus with ulcer
C1094	Type II diabetes mellitus with ulcer
C1094	Type 2 diabetes mellitus with ulcer
C1094	Type II diabetes mellitus with ulcer
C1095	Non-insulin-dependent diabetes mellitus with gangrene
C1095	Type II diabetes mellitus with gangrene
C1095	Type 2 diabetes mellitus with gangrene
C1095	Type II diabetes mellitus with gangrene
C1096	Non-insulin-dependent diabetes mellitus with retinopathy
C1096	Type 2 diabetes mellitus with retinopathy
C1096	Type II diabetes mellitus with retinopathy
C1097	Non-insulin-dependent diabetes mellitus - poor control
C1097	Type II diabetes mellitus - poor control
C1097	Type 2 diabetes mellitus - poor control
C1097	Type II diabetes mellitus - poor control
X40JE	Reaven's syndrome
XaELQ	Non-insulin-dependent diabetes mellitus without complication
XaELQ	Type 2 diabetes mellitus without complication
XaELQ	Type II diabetes mellitus without complication
XaEnp	Non-insulin dependent diabetes mellitus with mononeuropathy
XaEnp	Type 2 diabetes mellitus with mononeuropathy
XaEnp	Type II diabetes mellitus with mononeuropathy
XaEnq	Non-insulin dependent diabetes mellitus with polyneuropathy
XaEnq	Type 2 diabetes mellitus with polyneuropathy
XaEnq	Type II diabetes mellitus with polyneuropathy
XaF05	Non-insulin dependent diabetes mellitus with nephropathy
XaF05	Type 2 diabetes mellitus with nephropathy
XaF05	Type II diabetes mellitus with nephropathy
XaFWI	Non-insulin dependent diabetes mellitus with hypoglycaemic coma
XaFWI	Type 2 diabetes mellitus with hypoglycaemic coma
XaFWI	Type II diabetes mellitus with hypoglycaemic coma
XaFmA	Non-insulin dependent diabetes mellitus with diabetic cataract
XaFmA	Type 2 diabetes mellitus with diabetic cataract
XaFmA	Type II diabetes mellitus with diabetic cataract
XaFn7	Non-insulin-dependent diabetes mellitus with peripheral angiopathy
XaFn7	Type 2 diabetes mellitus with peripheral angiopathy
XaFn7	Type II diabetes mellitus with peripheral angiopathy
XaFn8	Non-insulin dependent diabetes mellitus with arthropathy
XaFn8	Type 2 diabetes mellitus with arthropathy
XaFn8	Type II diabetes mellitus with arthropathy
XaFn9	Non-insulin dependent diabetes mellitus with neuropathic arthropathy
XaFn9	Type 2 diabetes mellitus with neuropathic arthropathy
XaFn9	Type II diabetes mellitus with neuropathic arthropathy
X40J6	Insulin treated Type 2 diabetes mellitus
X40J6	Insulin treated non-insulin dependent diabetes mellitus
X40J6	Insulin treated Type II diabetes mellitus
XaIrf	Hyperosmolar non-ketotic state in type 2 diabetes mellitus
X40J7	Malnutrition-related diabetes mellitus
X40J7	Jamaica type diabetes
C10A0	Malnutrition-related diabetes mellitus with coma
C10A1	Malnutrition-related diabetes mellitus with ketoacidosis
C10A2	Malnutrition-related diabetes mellitus with renal complications
C10A3	Malnutrition-related diabetes mellitus with ophthalmic complications
C10A4	Malnutrition-related diabetes mellitus with neurological complications
C10A5	Malnutrition-related diabetes mellitus with peripheral circulatory complications
C10A6	Malnutrition-related diabetes mellitus with multiple complications
C10A7	Malnutrition-related diabetes mellitus without complications
Cyu22	[X]Malnutrition-related diabetes mellitus with unspecified complications
Cyu21	[X]Malnutrition-related diabetes mellitus with other specified complications
C11y0	Steroid-induced diabetes
C10B0	Steroid-induced diabetes mellitus without complication
X40JI	Diabetes mellitus autosomal dominant
X40JI	Maturity onset diabetes in youth
X40JI	Maturity onset diabetes in youth type 1
X40JJ	Diabetes mellitus autosomal dominant type 2
X40JJ	Maturity onset diabetes in youth type 2
X40J4	Type 1 diabetes mellitus
X40J4	Insulin-dependent diabetes mellitus
X40J4	Type I diabetes mellitus
X40J4	Type I diabetes mellitus
C1080	Type 1 diabetes mellitus with renal complications
C1080	Insulin-dependent diabetes mellitus with renal complications
C1080	Type I diabetes mellitus with renal complications
C1081	Type 1 diabetes mellitus with ophthalmic complications
C1081	Insulin-dependent diabetes mellitus with ophthalmic complications
C1081	Type I diabetes mellitus with ophthalmic complications
C1082	Type 1 diabetes mellitus with neurological complications
C1082	Insulin-dependent diabetes mellitus with neurological complications
C1082	Type I diabetes mellitus with neurological complications
C1083	Type 1 diabetes mellitus with multiple complications
C1083	Insulin-dependent diabetes mellitus with multiple complications
C1083	Type I diabetes mellitus with multiple complications
C1083	Type I diabetes mellitus with multiple complications
Xa4g7	Unstable type 1 diabetes mellitus
Xa4g7	Unstable insulin dependent diabetes mellitus
Xa4g7	Unstable type I diabetes mellitus
C1085	Type 1 diabetes mellitus with ulcer
C1085	Insulin-dependent diabetes mellitus with ulcer
C1085	Type I diabetes mellitus with ulcer
C1085	Type I diabetes mellitus with ulcer
C1086	Type 1 diabetes mellitus with gangrene
C1086	Insulin-dependent diabetes mellitus with gangrene
C1086	Type I diabetes mellitus with gangrene
C1086	Type I diabetes mellitus with gangrene
C1087	Type 1 diabetes mellitus with retinopathy
C1087	Type I diabetes mellitus with retinopathy
C1087	Insulin-dependent diabetes mellitus with retinopathy
C1087	Type I diabetes mellitus with retinopathy
C1088	Type 1 diabetes mellitus - poor control
C1088	Insulin-dependent diabetes mellitus - poor control
C1088	Type I diabetes mellitus - poor control
C1088	Type I diabetes mellitus - poor control
C1089	Type 1 diabetes mellitus maturity onset
C1089	Insulin-dependent diabetes maturity onset
C1089	Type I diabetes mellitus maturity onset
C1089	Type I diabetes mellitus maturity onset
XaELP	Type 1 diabetes mellitus without complication
XaELP	Insulin-dependent diabetes without complication
XaELP	Type I diabetes mellitus without complication
XaEnn	Type 1 diabetes mellitus with mononeuropathy
XaEnn	Insulin dependent diabetes mellitus with mononeuropathy
XaEnn	Type I diabetes mellitus with mononeuropathy
XaEno	Type 1 diabetes mellitus with polyneuropathy
XaEno	Insulin dependent diabetes mellitus with polyneuropathy
XaEno	Type I diabetes mellitus with polyneuropathy
XaF04	Type 1 diabetes mellitus with nephropathy
XaF04	Insulin dependent diabetes mellitus with nephropathy
XaF04	Type I diabetes mellitus with nephropathy
XaFWG	Type 1 diabetes mellitus with hypoglycaemic coma
XaFWG	Insulin dependent diabetes mellitus with hypoglycaemic coma
XaFWG	Type I diabetes mellitus with hypoglycaemic coma
XaFm8	Type 1 diabetes mellitus with diabetic cataract
XaFm8	Insulin dependent diabetes mellitus with diabetic cataract
XaFm8	Type I diabetes mellitus with diabetic cataract
XaFmK	Type 1 diabetes mellitus with peripheral angiopathy
XaFmK	Insulin dependent diabetes mellitus with peripheral angiopathy
XaFmK	Type I diabetes mellitus with peripheral angiopathy
XaFmL	Type 1 diabetes mellitus with arthropathy
XaFmL	Insulin dependent diabetes mellitus with arthropathy
XaFmL	Type I diabetes mellitus with arthropathy
XaFmM	Type 1 diabetes mellitus with neuropathic arthropathy
XaFmM	Insulin dependent diabetes mellitus with neuropathic arthropathy
XaFmM	Type I diabetes mellitus with neuropathic arthropathy
XaIzM	Type 1 diabetes mellitus with persistent proteinuria
XaIzM	Type 1 diabetes mellitus with persistent proteinuria
XaIzN	Type 1 diabetes mellitus with persistent microalbuminuria
XaIzN	Type 1 diabetes mellitus with persistent microalbuminuria
C1010	Type 1 diabetes mellitus with ketoacidosis
C1010	Type 1 diabetes mellitus with ketoacidosis
C1030	Type 1 diabetes mellitus with ketoacidotic coma
C1030	Type 1 diabetes mellitus with ketoacidotic coma
XaJSr	Type 1 diabetes mellitus with exudative maculopathy
XaJSr	Type I diabetes mellitus with exudative maculopathy
XaKyW	Type 1 diabetes mellitus with gastroparesis
XaKyW	Type I diabetes mellitus with gastroparesis
XaOPu	Latent autoimmune diabetes mellitus in adult
X40J5	Type 2 diabetes mellitus
X40J5	Type II diabetes mellitus
C1090	Type 2 diabetes mellitus with renal complications
C1090	Type II diabetes mellitus with renal complications
C1091	Type 2 diabetes mellitus with ophthalmic complications
C1091	Type II diabetes mellitus with ophthalmic complications
C1092	Type 2 diabetes mellitus with neurological complications
C1092	Type II diabetes mellitus with neurological complications
C1093	Type 2 diabetes mellitus with multiple complications
C1093	Type II diabetes mellitus with multiple complications
C1094	Type 2 diabetes mellitus with ulcer
C1094	Type II diabetes mellitus with ulcer
C1095	Type 2 diabetes mellitus with gangrene
C1095	Type II diabetes mellitus with gangrene
C1096	Type 2 diabetes mellitus with retinopathy
C1096	Type II diabetes mellitus with retinopathy
C1097	Type 2 diabetes mellitus - poor control
C1097	Type II diabetes mellitus - poor control
X40JE	Reaven's syndrome
X40JE	Metabolic syndrome X
XaELQ	Type 2 diabetes mellitus without complication
XaELQ	Type II diabetes mellitus without complication
XaEnp	Type 2 diabetes mellitus with mononeuropathy
XaEnp	Type II diabetes mellitus with mononeuropathy
XaEnq	Type 2 diabetes mellitus with polyneuropathy
XaEnq	Type II diabetes mellitus with polyneuropathy
XaF05	Type 2 diabetes mellitus with nephropathy
XaF05	Type II diabetes mellitus with nephropathy
XaFWI	Type 2 diabetes mellitus with hypoglycaemic coma
XaFWI	Type II diabetes mellitus with hypoglycaemic coma
XaFmA	Type 2 diabetes mellitus with diabetic cataract
XaFmA	Type II diabetes mellitus with diabetic cataract
XaFn7	Type 2 diabetes mellitus with peripheral angiopathy
XaFn7	Type II diabetes mellitus with peripheral angiopathy
XaFn8	Type 2 diabetes mellitus with arthropathy
XaFn8	Type II diabetes mellitus with arthropathy
XaFn9	Type 2 diabetes mellitus with neuropathic arthropathy
XaFn9	Type II diabetes mellitus with neuropathic arthropathy
X40J6	Insulin treated Type 2 diabetes mellitus
X40J6	Insulin treated Type II diabetes mellitus
XaIrf	Hyperosmolar non-ketotic state in type 2 diabetes mellitus
XaIrf	Hyperosmolar non-ketotic state in type II diabetes mellitus
XaIzQ	Type 2 diabetes mellitus with persistent proteinuria
XaIzQ	Type 2 diabetes mellitus with persistent proteinuria
XaIzQ	Type II diabetes mellitus with persistent proteinuria
XaIzR	Type 2 diabetes mellitus with persistent microalbuminuria
XaIzR	Type 2 diabetes mellitus with persistent microalbuminuria
XaIzR	Type II diabetes mellitus with persistent microalbuminuria
C1011	Type 2 diabetes mellitus with ketoacidosis
C1011	Type 2 diabetes mellitus with ketoacidosis
C1031	Type 2 diabetes mellitus with ketoacidotic coma
C1031	Type 2 diabetes mellitus with ketoacidotic coma
C1031	Type II diabetes mellitus with ketoacidotic coma
XaJQp	Type 2 diabetes mellitus with exudative maculopathy
XaJQp	Type 2 diabetes mellitus with exudative maculopathy
XaJQp	Type II diabetes mellitus with exudative maculopathy
XaKyX	Type 2 diabetes mellitus with gastroparesis
XaKyX	Type II diabetes mellitus with gastroparesis
XaOPt	Maternally inherited diabetes mellitus
X40JB	Secondary pancreatic diabetes mellitus
XaJlL	Secondary pancreatic diabetes mellitus without complication
XaJUI	Diabetes mellitus induced by non-steroid drugs
XaJlM	Diabetes mellitus induced by non-steroid drugs without complication
XaJUH	Insulin autoimmune syndrome
XaJlN	Insulin autoimmune syndrome without complication
X40KH	Type A insulin resistance
XaJlO	Type A insulin resistance without complication
XSETI	Fibrocalculous pancreatopathy
XaJlP	Fibrocalculous pancreatopathy without complication
XSETe	Lipoatrophic diabetes mellitus
XaJlQ	Lipoatrophic diabetes mellitus without complication
X40JA	Secondary diabetes mellitus
XaJlR	Secondary diabetes mellitus without complication
XaMzI	Cystic fibrosis related diabetes mellitus
Xaagd	Diabetes mellitus in remission
Xaage	Type I diabetes mellitus in remission
Xaage	Type 1 diabetes mellitus in remission
Xaagf	Type II diabetes mellitus in remission
Xaagf	Type 2 diabetes mellitus in remission
XacoB	Maturity onset diabetes of the young type 5
C10y.	Diabetes mellitus with other specified manifestation
C10y0	Diabetes mellitus, juvenile type, with other specified manifestation
C10y1	Diabetes mellitus, adult onset, with other specified manifestation
C10yy	Other specified diabetes mellitus with other specified complications
C10yz	Diabetes mellitus NOS with other specified manifestation
C10z.	Diabetes mellitus with unspecified complication
